,Nome,Valor
141,['Mercadora do Porto da Caveira\nSkullport Merchant'],"['R$ 6,89']"
142,['Estirge\nStirge'],"['R$ 2,43']"
143,['Invocar Morto-vivo\nSummon Undead'],"['R$ 2,33']"
144,"[""Ferramentas de Ladrão\nThieves' Tools""]","['R$ 0,42']"
145,['Dragão de Topázio // Nuvem Entrópica\nTopaz Dragon // Entropic Cloud'],"['R$ 7,90']"
146,['Explorador do Subterrâneo\nUnderdark Explorer'],"['R$ 2,33']"
147,['Furioso de Batalha Ferino\nVicious Battlerager'],"['R$ 2,33']"
148,"['Viconia, Apóstata Drow\nViconia, Drow Apostate']","['R$ 0,24']"
149,['Vrock'],"['R$ 0,44']"
150,['Bandido Zentharim\nZhentarim Bandit'],"['R$ 0,43']"
151,"[""Amber Gristle O'Maul""]","['R$ 0,13']"
152,['Dragão de Ametista // Cristal Explosivo\nAmethyst Dragon // Explosive Crystal'],"['R$ 1,00']"
153,['Dragão de Cobre Ancião\nAncient Copper Dragon'],"['R$ 0,43']"
154,['Balor'],"['R$ 0,48']"
155,"[""Invocador de Bhaal\nBhaal's Invoker""]","['R$ 2,33']"
156,['Feiticeiro do Sangue Fervente\nBloodboil Sorcerer'],"['R$ 0,49']"
157,['Arma de Sopro\nBreath Weapon'],"['R$ 0,48']"
158,['Orbe dos Dragões de Cornalina\nCarnelian Orb of Dragonkind'],"['R$ 1,90']"
159,['Aventureira das Cavernas do Caos\nCaves of Chaos Adventurer'],"['R$ 1,50']"
160,['Coroação do Caos\nCoronation of Chaos'],"['R$ 144,90']"
161,['Descida ao Avernus\nDescent into Avernus'],"['R$ 39,70']"
162,['Cultista do Dragão\nDragon Cultist'],"['R$ 0,25']"
163,['Tremor de Terra\nEarth Tremor'],"['R$ 1,42']"
164,['Sobreviventes de Elturel\nElturel Survivors'],"['R$ 0,48']"
165,['Dragão das Presas // Golpe de Cauda Bifurcada\nFang Dragon // Forktail Sweep'],"['R$ 0,49']"
166,['Flautista Firbolg\nFirbolg Flutist'],"['R$ 8,40']"
167,['Bola de Fogo\nFireball'],"['R$ 0,45']"
168,"['Ganax, Caçador Astral\nGanax, Astral Hunter']","['R$ 17,89']"
169,['Impositores Genasi\nGenasi Enforcers'],"['R$ 1,94']"
170,['Bando Guerreiro Gnoll\nGnoll War Band'],"['R$ 0,45']"
171,['Artesão de Guilda\nGuild Artisan'],"['R$ 7,75']"
172,"['Gut, Zelote Alma Verdadeira\nGut, True Soul Zealot']","['R$ 0,44']"
173,['Ogro Acumulador\nHoarding Ogre'],"['R$ 7,25']"
174,['Artilheiro Engenhoso\nIngenious Artillerist'],"['R$ 0,25']"
175,['Engenhocagem Inspirada\nInspired Tinkering'],"['R$ 2,41']"
176,['Baladeiro Insuportável\nInsufferable Balladeer'],"['R$ 0,48']"
177,['Azagaia Relâmpago\nJavelin of Lightning'],"['R$ 1,42']"
178,"['Karlach, Fúria do Avernus\nKarlach, Fury of Avernus']","['R$ 1,48']"
179,['Raio\nLightning Bolt'],"['R$ 2,41']"
180,"['Livaan, Cultista de Tiamat\nLivaan, Cultist of Tiamat']","['R$ 0,15']"
181,['Fênix Nêmesis\nNemesis Phoenix'],"['R$ 0,48']"
182,['Ataque em Bando\nPack Attack'],"['R$ 8,43']"
183,['Patrona das Artes\nPatron of the Arts'],"['R$ 0,44']"
184,['Artista Popular\nPopular Entertainer'],"['R$ 0,44']"
185,['Bárbaro Imprudente\nReckless Barbarian'],"['R$ 54,44']"
186,['Ímpeto Brilhante\nShiny Impetus'],"['R$ 7,95']"
187,['Barda Despertadora\nStirring Bard'],"['R$ 2,42']"
188,"[""Trovão do Rei da Tempestade\nStorm King's Thunder""]","['R$ 2,33']"
189,['Criança de Rua\nStreet Urchin'],"['R$ 0,44']"
190,['Espadachim Extraordinário\nSwashbuckler Extraordinaire'],"['R$ 0,45']"
191,['Kobold Provocador\nTaunting Kobold'],"['R$ 7,70']"
192,['Valentão de Taverna\nTavern Brawler'],"['R$ 0,44']"
193,['Onda Trovejante\nThunderwave'],"['R$ 0,42']"
194,"[""Fanáticos de Tiamat\nTiamat's Fanatics""]","['R$ 0,48']"
