,Nome,Valor
142,"['Safana, Degoladora de Calimporto\nSafana, Calimport Cutthroat']","['R$ 2,39']"
143,"['Sarevok, Fatífero\nSarevok, Deathbringer']","['R$ 1,95']"
144,['Rebento de Halaster\nScion of Halaster'],"['R$ 0,42']"
145,"['Sombralma, Justiciar Sombria\nShadowheart, Dark Justiciar']","['R$ 6,95']"
146,['Insígnia de Myrkul\nSigil of Myrkul'],"['R$ 1,94']"
147,"['Sivriss, Orador do Pesadelo\nSivriss, Nightmare Speaker']","['R$ 2,33']"
148,['Mercadora do Porto da Caveira\nSkullport Merchant'],"['R$ 0,20']"
149,['Estirge\nStirge'],"['R$ 0,44']"
150,['Invocar Morto-vivo\nSummon Undead'],"['R$ 0,43']"
151,"[""Ferramentas de Ladrão\nThieves' Tools""]","['R$ 0,13']"
152,['Dragão de Topázio // Nuvem Entrópica\nTopaz Dragon // Entropic Cloud'],"['R$ 1,00']"
153,['Explorador do Subterrâneo\nUnderdark Explorer'],"['R$ 0,43']"
154,['Furioso de Batalha Ferino\nVicious Battlerager'],"['R$ 0,45']"
155,"['Viconia, Apóstata Drow\nViconia, Drow Apostate']","['R$ 2,33']"
156,['Vrock'],"['R$ 0,49']"
157,['Bandido Zentharim\nZhentarim Bandit'],"['R$ 0,45']"
158,"[""Amber Gristle O'Maul""]","['R$ 1,90']"
159,['Dragão de Ametista // Cristal Explosivo\nAmethyst Dragon // Explosive Crystal'],"['R$ 1,50']"
160,['Dragão de Cobre Ancião\nAncient Copper Dragon'],"['R$ 139,49']"
161,['Balor'],"['R$ 34,94']"
162,"[""Invocador de Bhaal\nBhaal's Invoker""]","['R$ 0,25']"
163,['Feiticeiro do Sangue Fervente\nBloodboil Sorcerer'],"['R$ 1,42']"
164,['Arma de Sopro\nBreath Weapon'],"['R$ 0,45']"
165,['Orbe dos Dragões de Cornalina\nCarnelian Orb of Dragonkind'],"['R$ 0,49']"
166,['Aventureira das Cavernas do Caos\nCaves of Chaos Adventurer'],"['R$ 7,95']"
